id,section,subsection,title,details,price_crc,price_text,tags,url,locale,version,contact_value
c56496ff-26a1-4088-92ba-38bc6b039d63,Residencial,Planes,Plan 250/250 Mbps,"Plan residencial simétrico. Incluye Equipo Wi‑Fi, Firewall y Soporte 24/7.",26600,₡26 600 IVI,"plan, 250, residencial",,es_CR,v1.1,
9b9dfe17-34fa-4a24-9cd4-5f1852582bba,Residencial,Planes,Plan 500/500 Mbps (más popular),"Plan residencial simétrico. Incluye Equipo Wi‑Fi, Firewall y Soporte 24/7.",33410,₡33 410 IVI,"plan, 500, residencial, popular",,es_CR,v1.1,
a9522750-566e-4c37-9db9-167c6a6c7836,Residencial,Planes,Plan 1/1 Gbps,"Plan residencial simétrico. Incluye Equipo Wi‑Fi, Firewall y Soporte 24/7.",49500,₡49 500 IVI,"plan, 1000, residencial",,es_CR,v1.1,
1e04d2bb-730d-4bab-89bc-87e9b5009afb,Precios,Impuestos,IVA y otros,"Precios publicados incluyen IVI: IVA 13 %, 1 % Cruz Roja y 0,75 % 9‑1‑1.",,,"impuestos, ivi, iva",,es_CR,v1.1,
1316a584-c63c-45da-aed4-ea7197e53383,Residencial,Activación,Paso 1 – Revisar cobertura,Haz clic para revisar cobertura por dirección o consúltenos por WhatsApp.,,,"cobertura, pasos",https://data.cr/cobertura,es_CR,v1.1,
40970f5e-3532-4b1e-b48a-53778342c71c,Residencial,Activación,Paso 2 – Contacto,"Contáctanos por teléfono, WhatsApp o formulario en línea.",,,"contacto, pasos",,es_CR,v1.1,
1cac592c-27db-4df4-a043-e07223ec9e6d,Residencial,Activación,Paso 3 – Agendamiento,Agendamos la instalación en el horario que te convenga.,,,"agenda, instalacion, pasos",,es_CR,v1.1,
9e1603b2-475c-4b5d-a33c-0d35a2a33bb8,Residencial,Activación,Paso 4 – Instalación técnica,Nuestro técnico realiza la instalación y conecta la línea con calidad garantizada.,,,"tecnico, instalacion, pasos",,es_CR,v1.1,
ee9d3fdc-77be-4478-941e-40ca3429eccd,Residencial,FAQ,¿Cuánto se tarda en hacer la instalación?,"Para planes residenciales, la instalación se realiza entre 48 y 72 horas posteriores a la compra.
Durante la compra en el sitio web, el usuario selecciona fecha y hora según disponibilidad.
- Si la compra es antes de las 4:00 p. m., la instalación está disponible 48 horas después.
- Si la compra es después de las 4:00 p. m., la instalación está disponible 72 horas después.
El equipo técnico llega en la fecha y hora elegidas para configurar, probar y dejar el servicio operativo.
Para servicios empresariales, el tiempo puede variar según requerimientos específicos.",,,"faq, instalacion, tiempos",,es_CR,v1.1,
8e8aa92d-aeeb-4ff9-9133-f5c5136854af,Residencial,Promociones,Tercer mes gratis,Promoción vigente: el tercer mes es gratis al activar hoy. Aplican términos.,,,"promocion, mes gratis",,es_CR,v1.1,
283f1ea3-095f-487b-ab3b-008eb025ab4c,IPTV,Resumen,Servicio IPTV,Más de 100 canales disponibles. Se puede añadir a cualquier plan residencial.,,,"iptv, tv",,es_CR,v1.1,
ea513293-fe2d-4d21-8cef-494317a52567,IPTV,Dispositivos,Límite de dispositivos,El cliente puede comprar hasta 10 dispositivos IPTV al momento de la compra.,,,"dispositivos, limite",,es_CR,v1.1,
e90fb60c-5167-461e-ab90-fde1c4590ec3,IPTV,Precios,Precio por dispositivo IPTV,Cada dispositivo IPTV tiene un valor de ₡4 590 IVI.,4590,₡4 590 IVI,"precio, iptv",,es_CR,v1.1,
39be29cb-f35a-49bb-b80e-b0aef649fe79,Telefonía,Resumen,Telefonía Residencial,Servicio de telefonía VoIP residencial como adicional a planes de Internet.,,,"telefonia, voip, residencial",,es_CR,v1.1,
